40	0.790039	0.379994
60	1.190497	0.400458
79	1.570180	0.379683
99	1.970562	0.400382
118	2.349968	0.379406
138	2.750412	0.400444
157	3.129632	0.379220
177	3.530084	0.400452
196	3.909515	0.379431
216	4.309689	0.400175
236	4.709903	0.400214
256	5.109902	0.399999
276	5.510055	0.400153
296	5.910283	0.400229
316	6.310359	0.400076
336	6.710392	0.400034
356	7.110519	0.400127
376	7.510540	0.400021
395	7.889620	0.379080
415	8.289741	0.400121
435	8.689539	0.399797
455	9.089720	0.400181
475	9.489780	0.400060
496	9.910524	0.420744
516	10.310514	0.399990
536	10.710457	0.399943
556	11.110401	0.399944
576	11.510336	0.399935
596	11.910358	0.400022
616	12.310304	0.399946
636	12.710094	0.399790
656	13.109981	0.399887
676	13.509971	0.399990
696	13.909822	0.399851
716	14.309788	0.399966
736	14.709777	0.399989
756	15.109582	0.399805
776	15.509631	0.400049
797	15.930518	0.420887
817	16.330441	0.399923
837	16.730232	0.399791
857	17.130250	0.400017
877	17.530018	0.399769
897	17.929932	0.399914
917	18.329916	0.399984
937	18.729581	0.399665
958	19.150595	0.421014
978	19.550249	0.399654
998	19.950120	0.399871
1018	20.349956	0.399836
1038	20.749712	0.399756
1058	21.149719	0.400007
1079	21.570514	0.420796
1099	21.970316	0.399802
1119	22.370093	0.399776
1139	22.770009	0.399916
1159	23.169811	0.399802
1179	23.569725	0.399914
1200	23.990480	0.420754
1220	24.390310	0.399830
1240	24.789975	0.399665
1260	25.189977	0.400002
1280	25.589617	0.399640
1300	25.989496	0.399879
1321	26.410477	0.420980
1341	26.810162	0.399685
1361	27.210093	0.399932
1381	27.609872	0.399778
1401	28.009743	0.399871
1422	28.430470	0.420728
1442	28.830286	0.399815
1462	29.230273	0.399987
1482	29.629966	0.399694
1502	30.029881	0.399914
1522	30.429494	0.399614
1543	30.850424	0.420929
1563	31.250191	0.399768
1583	31.649923	0.399732
1603	32.049914	0.399991
1623	32.449614	0.399699
1643	32.849631	0.400018
1664	33.270452	0.420821
1684	33.670205	0.399753
1704	34.069902	0.399697
1724	34.469691	0.399789
1744	34.869631	0.399940
