34	0.669886	0.340230
50	0.989605	0.319719
67	1.330351	0.340746
83	1.649488	0.319137
100	1.989940	0.340452
117	2.330394	0.340454
133	2.649519	0.319125
151	3.010374	0.360855
168	3.350234	0.339860
184	3.669530	0.319295
201	4.009698	0.340168
218	4.350008	0.340311
235	4.690213	0.340204
251	5.009417	0.319204
268	5.350147	0.340730
284	5.669644	0.319497
300	5.989464	0.319821
316	6.309400	0.319936
332	6.629546	0.320146
348	6.950267	0.320721
363	7.249716	0.299449
379	7.570354	0.320638
395	7.890400	0.320045
411	8.210437	0.320037
427	8.530161	0.319725
443	8.849752	0.319591
459	9.169430	0.319678
475	9.489320	0.319890
491	9.809348	0.320028
507	10.129572	0.320225
523	10.450075	0.320503
538	10.749316	0.299241
554	11.069730	0.320414
570	11.390308	0.320578
585	11.689840	0.299533
601	12.010474	0.320634
616	12.309628	0.299155
632	12.629664	0.320036
648	12.949613	0.319948
664	13.269774	0.320161
681	13.610296	0.340522
697	13.929730	0.319434
713	14.249735	0.320005
729	14.569623	0.319888
745	14.889581	0.319957
762	15.230149	0.340568
778	15.549305	0.319156
795	15.889825	0.340520
811	16.209405	0.319580
828	16.549737	0.340332
845	16.890208	0.340472
862	17.230465	0.340257
878	17.549598	0.319133
895	17.889944	0.340347
912	18.229826	0.339882
929	18.569796	0.339970
946	18.909400	0.339604
964	19.270241	0.360841
981	19.609892	0.339652
999	19.970427	0.360535
1016	20.309843	0.339416
1034	20.670387	0.360544
1051	21.010160	0.339773
1068	21.350001	0.339841
1085	21.689630	0.339629
1103	22.050230	0.360599
1120	22.389690	0.339460
1138	22.750347	0.360657
1155	23.089865	0.339519
1173	23.450292	0.360427
1190	23.789841	0.339549
1208	24.150439	0.360597
1225	24.489949	0.339510
1242	24.829589	0.339640
